Modelo,Ano Fabricacao,Idade Veiculo,Km,Reclamacoes,Recall
Fiat Toro,2023,3.0,32954.0,2.0,Não
Fiat Uno,2016,10.0,117794.0,6.0,Não
Fiat Uno,2012,14.0,129392.0,4.0,Não
Fiat Strada,2019,7.0,46307.0,3.0,Não
Fiat Toro,2017,9.0,79988.0,0.0,Não
Fiat Uno,2014,,188249.0,1.0,Sim
Fiat Strada,2022,4.0,61994.0,2.0,Não
Fiat Toro,2026,0.0,,0.0,Sim
Fiat Grand Siena,2013,13.0,156511.0,,Não
Jeep Compass,2022,4.0,43858.0,5.0,Sim
Fiat Palio,2014,12.0,158308.0,10.0,Sim
Jeep Compass,2019,7.0,77194.0,3.0,Sim
Fiat Strada,2019,7.0,81906.0,9.0,Não
RAM 2500,2017,9.0,113393.0,7.0,Não
RAM 2500,2016,10.0,144891.0,11.0,Sim
Fiat Grand Siena,2013,13.0,158729.0,15.0,Não
Jeep Renegade,2016,10.0,127014.0,8.0,Sim
Fiat Grand Siena,2015,11.0,137012.0,7.0,Sim
Fiat Palio,2017,9.0,,3.0,Não
Jeep Grand Cherokee,2023,3.0,35375.0,3.0,Não
Fiat Strada,2025,1.0,12405.0,2.0,Não
Jeep Renegade,2023,3.0,33339.0,3.0,Não
Jeep Grand Cherokee,2024,2.0,23220.0,0.0,Não
Fiat Toro,2016,10.0,93131.0,10.0,Não
Jeep Renegade,2022,4.0,33188.0,2.0,Não
Jeep Renegade,2019,7.0,87945.0,7.0,Não
Jeep Compass,2017,9.0,108502.0,5.0,Sim
RAM 2500,2019,7.0,71016.0,5.0,Não
Fiat Grand Siena,2016,10.0,118059.0,11.0,Não
RAM 2500,2016,10.0,118403.0,7.0,Sim
Jeep Grand Cherokee,2019,7.0,68929.0,5.0,Sim
Jeep Compass,2020,6.0,67987.0,5.0,Não
Fiat Strada,2016,10.0,111110.0,7.0,Não
Fiat Toro,2024,2.0,26159.0,2.0,Não
Jeep Grand Cherokee,2020,6.0,57037.0,0.0,Não
Jeep Renegade,2020,6.0,66432.0,9.0,Não
,2017,9.0,94191.0,4.0,Não
Fiat Strada,2025,1.0,5805.0,0.0,Não
Fiat Grand Siena,2018,8.0,69685.0,7.0,Sim
Jeep Compass,2022,4.0,49391.0,4.0,Não
Jeep Grand Cherokee,2023,3.0,45089.0,5.0,Sim
Jeep Compass,2018,8.0,58821.0,6.0,Não
Jeep Grand Cherokee,2023,,28771.0,1.0,Não
RAM 2500,2018,8.0,97936.0,6.0,Não
Jeep Grand Cherokee,2021,5.0,76593.0,2.0,Não
Jeep Renegade,2021,5.0,63034.0,3.0,Não
RAM 2500,2021,5.0,60038.0,1.0,Sim
Fiat Strada,2020,6.0,44558.0,3.0,Não
Fiat Toro,2019,7.0,68675.0,4.0,Não
Fiat Palio,2015,11.0,117102.0,11.0,Não
Fiat Strada,2015,11.0,138725.0,7.0,Sim
